Hostname,IP Address,MAC Address,Vendor,Operating System,Status

Unknown,10.96.54.181,96:4B:BF:D7:83:BE,Unknown,Unknown,Online
caprio,10.96.54.20,C8:5E:A9:97:94:1A,Unknown,Unknown,Online
